Country,Math,Science,Reading,Average,Rank
 Singapore ,573,551,542,555.3333333333334,2.0
" Hong Kong, China ",561,555,545,553.6666666666666,3.0
 Taiwan ,560,523,523,535.3333333333334,6.0
 South Korea ,554,538,536,542.6666666666666,4.0
" Macau, China ",538,521,509,522.6666666666666,10.0
 Japan ,536,547,538,540.3333333333334,5.0
 Liechtenstein ,535,525,516,525.3333333333334,9.0
  Switzerland ,531,515,509,518.3333333333334,14.0
 Netherlands ,523,522,511,518.6666666666666,13.0
 Estonia ,521,541,516,526.0,8.0
 Finland ,519,545,524,529.3333333333334,7.0
 Canada ,518,525,523,522.0,11.0
 Poland ,518,526,518,520.6666666666666,12.0
 Belgium ,515,505,509,509.6666666666667,19.0
 Germany ,514,524,508,515.3333333333334,16.5
 Vietnam ,511,528,508,515.6666666666666,15.0
 Austria ,506,506,490,500.6666666666667,22.0
 Australia ,504,521,512,512.3333333333334,18.0
 Ireland ,501,522,523,515.3333333333334,16.5
 Slovenia ,501,514,481,498.6666666666667,25.0
 Denmark ,500,498,496,498.0,26.0
 New Zealand ,500,516,512,509.3333333333333,20.0
 Czech Republic ,499,508,493,500.0,23.0
 France ,495,499,505,499.6666666666667,24.0
 United Kingdom ,494,514,499,502.3333333333333,21.0
 Iceland ,493,478,483,484.6666666666667,35.0
 Latvia ,491,502,489,494.0,28.0
 Luxembourg ,490,491,488,489.6666666666667,30.5
 Norway ,489,495,504,496.0,27.0
 Portugal ,487,489,488,488.0,33.0
 Italy ,485,494,490,489.6666666666667,30.5
 Spain ,484,496,488,489.3333333333333,32.0
 Russia ,482,486,475,481.0,39.0
 Slovakia ,482,471,463,472.0,41.0
 United States ,481,497,498,492.0,29.0
 Lithuania ,479,496,477,484.0,36.0
 Sweden ,478,485,483,482.0,38.0
 Hungary ,477,494,488,486.3333333333333,34.0
 Croatia ,471,491,485,482.3333333333333,37.0
 Israel ,466,470,486,474.0,40.0
 Greece ,453,467,477,465.6666666666667,42.0
 Serbia ,449,445,446,446.6666666666667,44.0
 Turkey ,448,463,475,462.0,43.0
 Romania ,445,439,438,440.6666666666667,47.0
 Cyprus ,440,438,449,442.3333333333333,45.0
 Bulgaria ,439,446,436,440.3333333333333,48.0
 United Arab Emirates ,434,448,442,441.3333333333333,46.0
 Kazakhstan ,432,425,393,416.6666666666667,53.0
 Thailand ,427,444,441,437.3333333333333,49.0
 Chile ,423,445,441,436.3333333333333,50.0
 Malaysia ,421,420,398,413.0,55.0
 Mexico ,413,415,424,417.3333333333333,52.0
 Montenegro ,410,410,422,414.0,54.0
 Uruguay ,409,416,411,412.0,56.0
 Costa Rica ,407,429,441,425.6666666666667,51.0
 Albania ,394,397,394,395.0,61.0
 Brazil ,391,405,410,402.0,57.0
 Argentina ,388,406,396,396.6666666666667,59.5
 Tunisia ,388,398,404,396.6666666666667,59.5
 Jordan ,386,409,399,398.0,58.0
 Colombia ,376,399,403,392.6666666666667,62.0
 Qatar ,376,384,388,382.6666666666667,64.0
 Indonesia ,375,382,396,384.3333333333333,63.0
 Peru ,368,373,384,375.0,65.0
"China Shanghai, China",613,580,570,587.6666666666666,1.0
